date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:25	2984/2984	---M--	200	added ('OK')	text/html	etag:%22ba8-3bf3b07dc8480%22	http://norvig.com/adaptive/index.htm	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/adaptive/index.html	(from http://norvig.com/index.html)
20:38:31	17288/17288	---M--	200	added ('OK')	text/html	etag:%224388-3ca4205ace080%22	http://norvig.com/pyacc.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/pyacc.html	(from http://norvig.com/index.html)
20:38:31	59478/59478	---M--	200	added ('OK')	application/postscript	etag:%22e856-320348d692b40%22	http://norvig.com/ow.ps	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ow.ps	(from http://norvig.com/index.html)
20:38:35	14950/14950	---M--	200	added ('OK')	text/html	etag:%223a66-51242232f57c0%22	http://norvig.com/dance-photography.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/dance-photography.html	(from http://norvig.com/index.html)
20:40:38	12081/12081	---M--	200	added ('OK')	text/html	etag:%222f31-46670a821cb80%22	http://norvig.com/chart538.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/chart538.html	(from http://norvig.com/index.html)
20:40:46	20220/20220	---M--	200	added ('OK')	text/html	etag:%224efc-4dad8275c63c0%22	http://norvig.com/reporters-and-parrots.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/reporters-and-parrots.html	(from http://norvig.com/index.html)
20:40:49	8537/8537	---M--	200	added ('OK')	text/html	etag:%222159-442f6eae35e40%22	http://norvig.com/oreskes.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/oreskes.html	(from http://norvig.com/index.html)
20:42:44	52406/52406	---M--	200	added ('OK')	text/html	etag:%22ccb6-553b454e1e7b5%22	http://norvig.com/galapagos-photography.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/galapagos-photography.html	(from http://norvig.com/index.html)
20:43:19	59548/59548	---M--	200	added ('OK')	text/html	etag:%22e89c-506a7e7c05540%22	http://norvig.com/experiment-design.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/experiment-design.html	(from http://norvig.com/index.html)
20:43:48	6445/6445	---M--	200	added ('OK')	text/html	etag:%22192d-44b51e992f880%22	http://norvig.com/logs-alexa.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/logs-alexa.html	(from http://norvig.com/index.html)
20:43:50	30304/30304	---M--	200	added ('OK')	text/html	etag:%227660-539930f8678c0%22	http://norvig.com/spell-correct.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/spell-correct.html	(from http://norvig.com/index.html)
20:44:01	519/519	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2025%20Apr%202013%2022:38:40%20GMT	http://norvig.com/sudoku.py	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/sudoku-2.html	(from http://norvig.com/sudopy.shtml)
20:48:18	15124/15124	---M--	200	added ('OK')	text/plain	etag:%223b14-5147e6192d1c0%22	http://norvig.com/ipython/Cheryl.ipynb	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ipython/Cheryl.ipynb	(from http://norvig.com/ipython/README.html)
20:48:21	27969/27969	---M--	200	added ('OK')	text/plain	etag:%226d41-5259cbd15c640%22	http://norvig.com/ipython/Cheryl-and-Eve.ipynb	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ipython/Cheryl-and-Eve.ipynb	(from http://norvig.com/ipython/README.html)
20:48:34	37728/37728	---M--	200	added ('OK')	text/plain	etag:%229360-52862f0a7fb40%22	http://norvig.com/ipython/Beal.ipynb	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ipython/Beal.ipynb	(from http://norvig.com/ipython/README.html)
20:48:44	33093/33093	---M--	200	added ('OK')	text/plain	etag:%228145-534a14e531500%22	http://norvig.com/ipython/WWW.ipynb	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ipython/WWW.ipynb	(from http://norvig.com/ipython/README.html)
20:50:25	38741/38741	---M--	200	added ('OK')	text/plain	etag:%229755-52c270643b300%22	http://norvig.com/ipython/xkcd1313.ipynb	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ipython/xkcd1313.ipynb	(from http://norvig.com/ipython/README.html)
20:50:41	236508/236508	---M--	200	added ('OK')	text/plain	etag:%2239bdc-524c409ca5c00%22	http://norvig.com/ipython/xkcd1313-part2.ipynb	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ipython/xkcd1313-part2.ipynb	(from http://norvig.com/ipython/README.html)
